Região Política;Cidade e UF;Data Convênio;Data Denúncia
Centro-Oeste;Itumbiara - GO;09/02/2009;
Centro-Oeste;Ivinhema - MS;07/01/2009;
Centro-Oeste;Ivolândia - GO;14/05/2013;
Centro-Oeste;Jaciara - MT;09/02/2009;
Centro-Oeste;Jandaia - GO;12/09/2013;
Centro-Oeste;Jangada - MT;19/05/2009;03/12/2018
Centro-Oeste;Japorã - MS;22/04/2013;
Centro-Oeste;Jaraguá - GO;09/02/2009;04/12/2020
Centro-Oeste;Jaraguá - GO;29/12/2022;
Centro-Oeste;Jaraguari - MS;11/11/2009;
Centro-Oeste;Jardim - MS;09/02/2009;
Centro-Oeste;Jataí - GO;09/02/2009;
Centro-Oeste;Jateí - MS;09/02/2009;
Centro-Oeste;Jauru - MT;09/02/2009;03/12/2018
Centro-Oeste;Jauru - MT;28/05/2019;
Centro-Oeste;Joviânia - GO;09/02/2009;
Centro-Oeste;Juara - MT;07/05/2012;
Centro-Oeste;Juína - MT;04/03/2011;
Centro-Oeste;Juruena - MT;09/02/2009;03/12/2018
Centro-Oeste;Juscimeira - MT;06/08/2013;03/12/2018
Centro-Oeste;Juscimeira - MT;24/10/2019;
Centro-Oeste;Jussara - GO;09/02/2009;04/12/2020
Centro-Oeste;Jussara - GO;01/07/2021;
Centro-Oeste;Juti - MS;09/02/2009;
Centro-Oeste;Ladário - MS;17/04/2012;
Centro-Oeste;Lagoa Santa - GO;09/02/2009;04/12/2020
Centro-Oeste;Laguna Carapã - MS;09/02/2009;
Centro-Oeste;Lambari d'Oeste - MT;09/02/2009;
Centro-Oeste;Leopoldo de Bulhões - GO;09/02/2009;03/12/2018
Centro-Oeste;Leopoldo de Bulhões - GO;27/09/2019;
Centro-Oeste;Lucas do Rio Verde - MT;13/08/2009;
Centro-Oeste;Luziânia - GO;29/09/2021;
Centro-Oeste;Mairipotaba - GO;28/05/2019;
Centro-Oeste;Mara Rosa - GO;12/09/2013;
Centro-Oeste;Maracaju - MS;04/12/2008;
Centro-Oeste;Marcelândia - MT;09/02/2009;03/12/2018
Centro-Oeste;Marcelândia - MT;28/05/2019;
Centro-Oeste;Matrinchã - GO;13/08/2009;
Centro-Oeste;Matupá - MT;09/02/2009;
Centro-Oeste;Maurilândia - GO;14/10/2009;03/12/2018
Centro-Oeste;Maurilândia - GO;29/09/2021;
Centro-Oeste;Mimoso de Goiás - GO;05/03/2009;03/12/2018
Centro-Oeste;Minaçu - GO;09/02/2009;
Centro-Oeste;Mineiros - GO;09/02/2009;
Centro-Oeste;Miranda - MS;09/02/2009;
Centro-Oeste;Mirassol d'Oeste - MT;09/02/2009;08/07/2019
Centro-Oeste;Mirassol d'Oeste - MT;16/03/2023;
Centro-Oeste;Moiporá - GO;09/02/2009;03/12/2018
Centro-Oeste;Monte Alegre de Goiás - GO;15/07/2020;
Centro-Oeste;Montes Claros de Goiás - GO;09/02/2009;
Centro-Oeste;Montividiu - GO;09/02/2009;
Centro-Oeste;Montividiu do Norte - GO;05/03/2009;
Centro-Oeste;Morrinhos - GO;09/02/2009;
Centro-Oeste;Mossâmedes - GO;09/02/2009;
Centro-Oeste;Mozarlândia - GO;09/02/2009;
Centro-Oeste;Mundo Novo - GO;08/10/2013;
Centro-Oeste;Mundo Novo - MS;05/03/2009;
Centro-Oeste;Mutunópolis - GO;05/03/2009;
Centro-Oeste;Naviraí - MS;04/12/2008;
Centro-Oeste;Nazário - GO;10/09/2014;04/12/2020
Centro-Oeste;Nerópolis - GO;05/03/2009;
Centro-Oeste;Nioaque - MS;07/01/2009;
Centro-Oeste;Niquelândia - GO;09/02/2009;
Centro-Oeste;Nobres - MT;09/03/2010;
Centro-Oeste;Nortelândia - MT;09/02/2009;
Centro-Oeste;Nossa Senhora do Livramento - MT;09/02/2009;
Centro-Oeste;Nova Alvorada do Sul - MS;04/12/2008;
Centro-Oeste;Nova Andradina - MS;09/02/2009;
Centro-Oeste;Nova Aurora - GO;09/02/2009;03/12/2018
Centro-Oeste;Nova Bandeirantes - MT;06/08/2013;
Centro-Oeste;Nova Brasilândia - MT;07/06/2011;
Centro-Oeste;Nova Canaã do Norte - MT;07/05/2010;
Centro-Oeste;Nova Crixás - GO;09/02/2009;15/01/2020
Centro-Oeste;Nova Crixás - GO;26/05/2022;
Centro-Oeste;Nova Glória - GO;28/05/2019;
Centro-Oeste;Nova Guarita - MT;11/03/2013;
Centro-Oeste;Nova Iguaçu de Goiás - GO;04/08/2015;03/12/2018
Centro-Oeste;Nova Lacerda - MT;09/02/2009;
Centro-Oeste;Nova Marilândia - MT;19/05/2009;03/12/2018
Centro-Oeste;Nova Marilândia - MT;28/05/2019;
Centro-Oeste;Nova Maringá - MT;09/02/2009;
Centro-Oeste;Nova Monte Verde - MT;09/02/2009;
Centro-Oeste;Nova Mutum - MT;07/07/2009;
Centro-Oeste;Nova Nazaré - MT;10/12/2009;03/12/2018
Centro-Oeste;Nova Nazaré - MT;05/12/2022;
Centro-Oeste;Nova Olímpia - MT;14/05/2013;03/12/2018
Centro-Oeste;Nova Olímpia - MT;02/08/2019;
Centro-Oeste;Nova Roma - GO;06/07/2023;
Centro-Oeste;Nova Santa Helena - MT;05/09/2011;
Centro-Oeste;Nova Ubiratã - MT;09/02/2009;23/12/2020
Centro-Oeste;Nova Ubiratã - MT;02/02/2022;
Centro-Oeste;Nova Veneza - GO;09/02/2009;03/12/2018
Centro-Oeste;Nova Xavantina - MT;14/10/2009;03/12/2018
